geo_name,geo_sumlevel,geo_id,total_reimbursements_b_2010,total_reimbursements_b_2011,total_reimbursements_b_2012,total_reimbursements_b_2013,total_reimbursements_b_2014
"Phillips County, CO",county,05000US08095,13832,13418,10347,11073,12313
"Pitkin County, CO",county,05000US08097,8465,9695,9256,9177,8901
"Prowers County, CO",county,05000US08099,9594,10113,9444,9336,9454
"Pueblo County, CO",county,05000US08101,8468,8437,8700,8356,8693
"Rio Blanco County, CO",county,05000US08103,9442,10344,8178,10048,9332
"Rio Grande County, CO",county,05000US08105,7869,7792,8004,8503,8661
"Routt County, CO",county,05000US08107,6630,7289,7037,6899,7127
"Saguache County, CO",county,05000US08109,7249,6513,6181,5753,5960
"San Juan County, CO",county,05000US08111,5063,4869,5483,4920,4744
"San Miguel County, CO",county,05000US08113,6509,7578,6992,6975,7011
"Sedgwick County, CO",county,05000US08115,8366,7132,8334,7234,7883
"Summit County, CO",county,05000US08117,7054,7686,7316,6858,6953
"Teller County, CO",county,05000US08119,8064,8236,7769,7327,8394
"Washington County, CO",county,05000US08121,8249,7938,8325,8603,9012
"Weld County, CO",county,05000US08123,8992,9092,8886,8558,8815
"Yuma County, CO",county,05000US08125,9909,10529,10170,9154,10259
"Fairfield County, CT",county,05000US09001,9035,9139,9131,9006,9184
"Hartford County, CT",county,05000US09003,8585,8841,8863,8954,8912
"Litchfield County, CT",county,05000US09005,8460,8595,8535,8648,8900
"Middlesex County, CT",county,05000US09007,8767,8676,8617,8841,9090
"New Haven County, CT",county,05000US09009,9381,9451,9514,9590,9553
"New London County, CT",county,05000US09011,9521,9550,9357,9268,9341
"Tolland County, CT",county,05000US09013,8775,8755,8805,9144,8899
"Windham County, CT",county,05000US09015,8824,9321,9374,9441,9553
"Kent County, DE",county,05000US10001,9209,9305,9397,9294,9920
"New Castle County, DE",county,05000US10003,9222,9303,9081,9113,9097
"Sussex County, DE",county,05000US10005,9394,9521,9475,9509,9874
"District of Columbia, DC",county,05000US11001,7983,8124,8337,7965,8057
"Alachua County, FL",county,05000US12001,9227,9586,9610,9446,9592
"Baker County, FL",county,05000US12003,12592,12835,13241,12087,12812
"Bay County, FL",county,05000US12005,11754,11886,11656,11682,11437
"Bradford County, FL",county,05000US12007,11559,10921,11444,10784,10952
"Brevard County, FL",county,05000US12009,10509,10884,11027,10735,10564
"Broward County, FL",county,05000US12011,11935,11932,11894,11643,11852
"Calhoun County, FL",county,05000US12013,10809,11435,12683,12869,12602
"Charlotte County, FL",county,05000US12015,11084,11134,11220,10680,10480
"Citrus County, FL",county,05000US12017,10131,10238,10289,10015,10286
"Clay County, FL",county,05000US12019,11163,11496,11808,11310,11667
"Collier County, FL",county,05000US12021,9885,9938,9862,9523,9339
"Columbia County, FL",county,05000US12023,9890,11178,10738,10779,10722
"DeSoto County, FL",county,05000US12027,12334,12579,12355,11098,11102
"Dixie County, FL",county,05000US12029,10025,9615,10780,10728,9835
"Duval County, FL",county,05000US12031,11846,12001,11880,11645,11680
"Escambia County, FL",county,05000US12033,9868,10078,10244,10125,10056
"Flagler County, FL",county,05000US12035,9605,9504,9894,9662,9624
"Franklin County, FL",county,05000US12037,9607,9674,10637,10164,9479
"Gadsden County, FL",county,05000US12039,8862,9628,9371,8778,9051
"Gilchrist County, FL",county,05000US12041,10213,10439,10245,10027,10934
"Glades County, FL",county,05000US12043,12007,10785,12660,9649,13067
"Gulf County, FL",county,05000US12045,10704,10769,11084,10702,10995
"Hamilton County, FL",county,05000US12047,9562,9065,10085,9782,9758
"Hardee County, FL",county,05000US12049,11706,11484,12089,11988,12401
"Hendry County, FL",county,05000US12051,11000,11267,11656,11281,11624
"Hernando County, FL",county,05000US12053,11682,11731,11653,11215,11357
"Highlands County, FL",county,05000US12055,11563,11564,11570,11527,11470
"Hillsborough County, FL",county,05000US12057,11263,11493,11350,11428,11443
"Holmes County, FL",county,05000US12059,11243,12230,11797,11815,11391
"Indian River County, FL",county,05000US12061,9708,9893,9888,9549,9604
"Jackson County, FL",county,05000US12063,10520,10584,10498,10750,10294
"Jefferson County, FL",county,05000US12065,9137,8433,9370,9222,9832
"Lafayette County, FL",county,05000US12067,8928,9942,10011,9611,11398
"Lake County, FL",county,05000US12069,10730,10854,10635,10615,10617
"Lee County, FL",county,05000US12071,10266,10569,10623,10231,10012
"Leon County, FL",county,05000US12073,9295,9345,9431,9159,9197
"Levy County, FL",county,05000US12075,9866,10150,9985,9842,9968
"Liberty County, FL",county,05000US12077,9588,11391,11264,12525,11085
"Madison County, FL",county,05000US12079,9767,10424,10555,10933,11641
"Manatee County, FL",county,05000US12081,10614,10761,10289,10239,10263
"Marion County, FL",county,05000US12083,10057,10459,10748,10600,10437
"Martin County, FL",county,05000US12085,9666,9925,9766,9851,10070
"Miami-Dade County, FL",county,05000US12086,14448,14700,14370,14321,14097
"Monroe County, FL",county,05000US12087,9307,8812,8985,8917,9067
"Nassau County, FL",county,05000US12089,10290,10097,10142,10260,10161
"Okaloosa County, FL",county,05000US12091,10213,10398,10092,10293,10340
"Okeechobee County, FL",county,05000US12093,13715,14017,13854,13080,12781
"Orange County, FL",county,05000US12095,11670,11631,11466,11085,11061
"Osceola County, FL",county,05000US12097,11520,11907,11445,11547,11301
"Palm Beach County, FL",county,05000US12099,11643,11701,11460,11337,11417
"Pasco County, FL",county,05000US12101,11257,11508,11458,11418,11278
"Pinellas County, FL",county,05000US12103,11420,11545,11515,11244,11397
"Polk County, FL",county,05000US12105,10756,10980,10977,10905,10968
"Putnam County, FL",county,05000US12107,10940,11079,11263,11375,11260
"St. Johns County, FL",county,05000US12109,10348,10368,10279,10086,10149
"St. Lucie County, FL",county,05000US12111,10928,10953,10891,10719,10822
"Santa Rosa County, FL",county,05000US12113,10649,10461,10748,10534,10579
"Sarasota County, FL",county,05000US12115,9693,9795,9728,9571,9552
"Seminole County, FL",county,05000US12117,11471,11445,11448,11157,11294
"Sumter County, FL",county,05000US12119,10343,10790,10873,10454,10183
"Suwannee County, FL",county,05000US12121,9411,9412,9758,9925,9719
"Taylor County, FL",county,05000US12123,9555,9216,9393,9709,10164
"Union County, FL",county,05000US12125,12190,11623,10530,11889,11326
"Volusia County, FL",county,05000US12127,9964,10165,10098,10177,10091
"Wakulla County, FL",county,05000US12129,8856,10123,9657,9206,9652
"Walton County, FL",county,05000US12131,10873,10711,10928,10640,10133
"Washington County, FL",county,05000US12133,10606,11252,11207,11129,10656
"Appling County, GA",county,05000US13001,10307,9886,10563,9878,9582
"Atkinson County, GA",county,05000US13003,10595,10234,10454,9597,10164
"Bacon County, GA",county,05000US13005,12712,12098,11744,12047,11946
"Baker County, GA",county,05000US13007,7311,8981,9011,9290,12667
"Baldwin County, GA",county,05000US13009,9650,9869,10443,10676,10032
"Banks County, GA",county,05000US13011,9671,8948,10097,9796,9767
"Barrow County, GA",county,05000US13013,9723,9934,10151,9781,9466
"Bartow County, GA",county,05000US13015,10345,10313,10605,10425,10507
"Ben Hill County, GA",county,05000US13017,9975,10453,9632,10577,9048
"Berrien County, GA",county,05000US13019,9782,10330,11854,9799,9676
"Bibb County, GA",county,05000US13021,10046,10143,10440,10038,10039
"Bleckley County, GA",county,05000US13023,11094,10038,10381,10797,10653
"Brantley County, GA",county,05000US13025,11442,12511,11563,11658,11130
"Brooks County, GA",county,05000US13027,9700,9326,10653,10161,9928
"Bryan County, GA",county,05000US13029,10143,10212,9650,10181,9842
"Bulloch County, GA",county,05000US13031,9908,10776,10533,10283,10323
